pre_root_id,post_root_id,neuropil,syn_count,nt_type
720575940637878854,720575940616483414,SMP_R,45.0,ACH
720575940630910199,720575940653480438,SMP_R,3.0,ACH
720575940631147335,720575940642262157,SMP_R,3.0,ACH
720575940645362467,720575940619134789,SMP_R,14.0,ACH
720575940629378903,720575940619517131,SMP_R,9.0,ACH
720575940625433662,720575940649033593,SMP_R,21.0,GLUT
720575940611128782,720575940613353169,SMP_R,5.0,ACH
720575940618855344,720575940627087364,SMP_R,7.0,ACH
720575940625751589,720575940635356828,SMP_R,27.0,GLUT
720575940629801035,720575940623363000,SMP_R,5.0,GABA
720575940629166587,720575940613583001,SMP_R,1.0,ACH
720575940613412147,720575940616950161,SMP_R,15.0,ACH
720575940629791288,720575940616950161,SMP_R,6.0,ACH
720575940611490778,720575940619134789,SMP_R,59.0,GLUT
720575940618249797,720575940622971283,SMP_R,3.0,ACH
720575940617792985,720575940627425276,SMP_R,7.0,ACH
720575940626768442,720575940626500745,SMP_R,37.0,ACH
720575940625587642,720575940625031230,SMP_R,39.0,ACH
720575940624694503,720575940648564612,SMP_R,12.0,GABA
720575940625741287,720575940634274458,SMP_R,65.0,GABA
720575940628504081,720575940612572131,SMP_R,18.0,ACH
720575940615763573,720575940618943389,SMP_R,42.0,GLUT
720575940618912158,720575940631147335,SMP_R,5.0,ACH
720575940618249797,720575940632416668,SMP_R,2.0,ACH
720575940631245372,720575940622319715,SMP_R,3.0,ACH
720575940618681502,720575940620032123,SMP_R,10.0,ACH
720575940632225071,720575940627045202,SMP_R,9.0,GLUT
720575940628734376,720575940605781449,SMP_R,3.0,GLUT
720575940603693158,720575940621457690,SMP_R,37.0,ACH
720575940626315010,720575940629547836,SMP_R,7.0,ACH
720575940639504768,720575940623217577,SMP_R,10.0,ACH
720575940612488142,720575940622994323,SMP_R,12.0,ACH
720575940630046524,720575940626252925,SMP_R,8.0,GLUT
720575940626315010,720575940624449318,SMP_R,16.0,ACH
720575940622192822,720575940615166111,SMP_R,35.0,ACH
720575940637335012,720575940619134789,SMP_R,8.0,GLUT
720575940630644727,720575940619896711,SMP_R,17.0,GABA
720575940621339156,720575940624860599,SMP_R,11.0,GLUT
720575940635515744,720575940646173748,SMP_R,18.0,ACH
720575940620812353,720575940627951619,SMP_R,34.0,ACH
720575940623780583,720575940617796642,SMP_R,19.0,ACH
720575940631945047,720575940619436225,SMP_R,22.0,ACH
720575940625709401,720575940630845763,SMP_R,7.0,GLUT
720575940622425028,720575940612572131,SMP_R,9.0,GLUT
720575940610469986,720575940629225463,SMP_R,67.0,ACH
720575940637846618,720575940625934094,SMP_R,2.0,ACH
720575940626868040,720575940637396964,SMP_R,7.0,SER
720575940626315010,720575940608663253,SMP_R,13.0,ACH
720575940612572131,720575940645864739,SMP_R,15.0,ACH
720575940618912158,720575940606664894,SMP_R,9.0,ACH
720575940629791288,720575940621339156,SMP_R,14.0,ACH
720575940631511436,720575940634274458,SMP_R,12.0,ACH
720575940612630434,720575940604565350,SMP_R,6.0,ACH
720575940628453946,720575940625216954,SMP_R,14.0,ACH
720575940629067163,720575940621680774,SMP_R,19.0,ACH
720575940625741287,720575940633094113,SMP_R,35.0,GABA
